Location,County,ICAO,IATA,Airport name,Usage,Rwy (ft),Surface
"Brackley","Northamptonshire",,,"Hinton-in-the-Hedges Airfield","Private",,"Tarmac"
"Brackley","Northamptonshire","EGBT",,"Turweston Aerodrome","Public","3002","Asphalt"
"Bruntingthorpe","Leicestershire","EG74","LHB","Bruntingthorpe Aerodrome","Private","9842","Asphalt"
"Castle Donington","Leicestershire","EGNX","EMA","East Midlands Airport","Public","9491","Asphalt"
"Coningsby","Lincolnshire","EGXC","QCY","RAF Coningsby","Military","9003","Concrete"
"Cranwell","Lincolnshire","EGYD",,"RAF Cranwell","Military","6831","Asphalt"
"Derby","Derbyshire","EGBD",,"Derby Airfield","Public","1975","Grass"
"Grantham","Lincolnshire","EGYE",,"RAF Barkston Heath","Military","6007","Asphalt"
"Kettering","Northamptonshire",,,"Deenethorpe Aerodrome","Private",,
"Leicester","Leicestershire","EGBG","LRC","Leicester Airport","Public","3084","Asphalt"
"Lincoln","Lincolnshire","EGCS",,"Sturgate Airfield","Public","2690","Paved"
"Lincoln","Lincolnshire","EGNW",,"Wickenby Aerodrome","Public","1739","Concrete"
"Newark-on-Trent","Nottinghamshire","EGXY",,"RAF Syerston","Military","5994","Asphalt"
"Retford","Nottinghamshire","EGNE",,"Gamston Airport","Public","5522","Asphalt"
"Scampton","Lincolnshire","EGXP","SQZ","RAF Scampton","Military","8990","Asphalt"
"Silverstone","Northamptonshire","EGBV",,"Silverstone Heliport","Public","1476","Grass"
"Spalding","Lincolnshire","EGCL",,"Fenland Airfield","Public","1949","Grass"
"Stamford","Lincolnshire","EGXT",,"RAF Wittering","Military","9052","Asphalt"
"Strubby","Lincolnshire","EGCG",,"Strubby Airfield","Public","2461","Paved"
"Sywell","Northamptonshire","EGBK","ORM","Sywell Aerodrome","Private","2982","Grass"
"Tollerton","Nottinghamshire","EGBN","NQT","Nottingham Airport","Private","3445","Asphalt/Concrete"
"Waddington","Lincolnshire","EGXW","WTN","RAF Waddington","Military","9000","Asphalt"
"Worksop","Nottinghamshire","EGNF",,"Netherthorpe Airfield","Public","1814","Grass "
"Aldenham","Hertfordshire","EGTR","","Elstree Airfield","Public","2136","Asphalt"
"Saffron Walden","Essex","EGO2",,"Audley End Airfield","Private","2467","Grass"
"Beccles","Suffolk","EGSM",,"Beccles Airport","Public","2283","Concrete/Grass"
"Bedford","Bedfordshire","EGBF",,"Bedford Aerodrome","Private","3593","Concrete"
"Bedford","Bedfordshire","EGSB","","Castle Mill Airfield","Private","600","Grass"
"Bourn","Cambridgeshire","EGSN",,"Bourn Airfield","Private","2077","Bitumen"
"Braintree","Essex","EGSL",,"Andrewsfield Aerodrome","Private","2592","Grass"
"Bury St Edmunds","Suffolk",,,"Rougham Airfield","Private","3049","Grass"
"Fowlmere","Cambridgeshire","EGMA",,"Fowlmere Airfield","Public","2297","Grass"
"Cambridge","Cambridgeshire","EGSC","CBG","Cambridge International Airport","Public","6446","Concrete"
"Clacton-on-Sea","Essex","EGSQ",,"Clacton Airport","Public","2001","Grass"
"Cranfield","Bedfordshire","EGTC",,"Cranfield Airport","Private","5902","Asphalt"
"Cromer","Norfolk",,,"Northrepps Aerodrome","Private","2018","Grass"
"Duxford","Cambridgeshire","EGSU","QFO","Duxford Aerodrome","Public","4931","Paved"
"Great Yarmouth","Norfolk","EGSD",,"Great Yarmouth - North Denes Airport",,," "
"Halstead","Essex","EGSR",,"Earls Colne Airfield","Public","3081","Grass/Asphalt"
"Henlow","Bedfordshire","EGWE",,"RAF Henlow","Military",,"Grass"
"Hethel","Norfolk","EGSK",,"Hethel Airport","Private",," "
"Honington","Suffolk","EGXH","BEQ","RAF Honington","Military","9000","Concrete"
"Ipswich","Suffolk","EGSO",,"Crowfield Airfield",,"2520","Grass"
"Ipswich","Suffolk","EGST",,"Elmsett Airfield","Private","2920","Grass"
"Lakenheath","Suffolk","EGUL","LKZ","RAF Lakenheath","Military","9000","Concrete/Asphalt"
"Luton","Bedfordshire","EGGW","LTN","Luton Airport","Public","7086","Asphalt"
"Marham","Norfolk","EGYM","KNF","RAF Marham","Military","9140","Concrete"
"Mildenhall","Suffolk","EGUN","MHZ","RAF Mildenhall","Military","9221","Concrete/Asphalt"
"North Weald","Essex","EGSX",,"North Weald Airfield","Public","6332","Asphalt"
"Norwich","Norfolk","EGSH","NWI","Norwich Airport","Public","6040","Asphalt/Concrete"
"Norwich","Norfolk","EGSJ",,"Seething Airfield","Public","2625","Asphalt"
"Norwich","Norfolk","EGSV",,"Old Buckenham Airport","Public","2625","Asphalt"
"Norwich","Norfolk","EGYC","CLF","RAF Coltishall","Military",," "
"Old Warden","Bedfordshire","EGTH",,"Shuttleworth (Old Warden) Aerodrome","Private","2060","Grass"
"Peterborough","Cambridgeshire","EGSF",,"Peterborough Business Airport","Private","3238","Asphalt"
"Peterborough","Cambridgeshire","EGSP",,"Peterborough/Sibson Airport","Public","3068","Grass"
"Shipdham","Norfolk","EGSA",,"Shipdham Airfield",,," "
"St Ives","Cambridgeshire","EGUY","QUY","RAF Wyton","Military","8225","Asphalt"
"St Neots","Cambridgeshire","EGMJ",,"Little Gransden Airfield","Public","1870","Grass"
"Southend","Essex","EGMC","SEN","London Southend Airport","Public","6089","Asphalt"
"Stansted Mountfitchet","Essex","EGSS","STN","Stansted Airport","Public","10000","Asphalt"
"Stapleford Tawney","Essex","EGSG",,"Stapleford Aerodrome","Public","3533","Grass/Asphalt"
"Stowmarket","Suffolk","EGUW",,"Wattisham Airfield","Military","7953","Asphalt"
"Thetford","Norfolk","EGXH","BEQ","RAF Honington","Military","9012","Asphalt"
"Welwyn Garden City","Hertfordshire","EGLG",,"Panshanger Airport","Public","3189",""
"Bromley","Greater London","EGKB","BQH","London Biggin Hill Airport","Public","5912","Tarmac"
"Havering","Greater London","EGML",,"Damyns Hall Aerodrome","Private","1965","Grass"
"Hillingdon","Greater London","EGLL","LHR","Heathrow Airport","Public","12799","Asphalt"
"Hillingdon","Greater London","EGWU","NHT","RAF Northolt","Military","5545","Asphalt"
"Newham","Greater London","EGLC","LCY","London City Airport","Public","4948","Concrete"
"Wandsworth","Greater London","EGLW",,"London Heliport","Public","125","Concrete"
"Alnwick","Northumberland","EGQM",,"RAF Boulmer","Military",," "
"Bockenfield","Northumberland",,,"Eshott Airfield","Public",,"Asphalt"
"Darlington","County Durham","EGNV","MME","Teesside International Airport","Public","7516","Asphalt"
"Woolsington","Tyne and Wear","EGNT","NCL","Newcastle International Airport","Public","7641","Asphalt"
"North West England"
"Barrow-in-Furness","Cumbria","EGNL","BWF","Barrow/Walney Island Airport","Public","3327","Asphalt"
"Blackpool","Lancashire","EGNH","BLK","Blackpool Airport","Private","6132","Asphalt"
"Carlisle","Cumbria","EGNC","CAX","Carlisle Lake District Airport","Public","6027","Asphalt"
"Eccles","Greater Manchester","EGCB",,"City Airport Manchester","Public","2037","Grass"
"Formby","Merseyside","EGOW",,"RAF Woodvale","Military","5405","Asphalt"
"Liverpool","Merseyside","EGGP","LPL","Liverpool John Lennon Airport","Public","7500","Asphalt"
"Warton","Lancashire","EGNO",,"Warton Aerodrome","Private","7946","Asphalt"
"Ringway","Greater Manchester","EGCC","MAN","Manchester Airport","Public","10007","Concrete/Asphalt"
"Abingdon","Oxfordshire","EGUD","","RAF Abingdon","Military",," "
"Andover","Hampshire","EGHO",,"Thruxton Aerodrome","Public","2526","Asphalt"
"Andover","Hampshire","EGVP",,"Army Air Corps Middle Wallop","Military",," "
"Ascot Racecourse","Berkshire","EGLT",,"Ascot Racecourse Heliport","Public","2625","Grass"
"Bembridge","Isle of Wight","EGHJ","BBP","Bembridge Airport","Private","2746","Concrete"
"Benson","Oxfordshire","EGUB","BEX","RAF Benson","Military","5981","Asphalt"
"Bicester","Oxfordshire","EGDD",,"Bicester Airfield",,," "
"Brize Norton","Oxfordshire","EGVN","BZZ","RAF Brize Norton","Military","10007","Asphalt"
"Challock","Kent","EGKE",,"Challock Airfield",,," "
"Chobham","Surrey","EGTF",,"Fairoaks Airport","Private","2667","Asphalt"
"Crawley","West Sussex","EGKK","LGW","Gatwick Airport","Public","10879","Asphalt/Concrete"
"Denton","Kent",,,"Clipgate Airfield","Private","1607","Grass"
"Dunsfold","Surrey","EGTD",,"Dunsfold Aerodrome",,," "
"Enstone","Oxfordshire","EGTN",,"Enstone Airfield","Public",," "
"Farnborough","Hampshire","EGLF","FAB","Farnborough Airport","Private","8005","Asphalt"
"Gerrards Cross","Buckinghamshire","EGLD",,"Denham Aerodrome","Public","2543","Asphalt"
"Goodwood Racecourse","West Sussex","EGKG",,"Goodwood Racecourse Heliport","Public","1640","Grass"
"Hammerwood Park","East Sussex",,,"Hammerwood Helipad","Public","130","Grass"
"Halton","Buckinghamshire","EGWN",,"RAF Halton","Military",,"Grass"
"High Wycombe","Buckinghamshire","EGTB",,"Wycombe Air Park/Booker Airport","Public","2411","Asphalt"
"Kidlington","Oxfordshire","EGTK","OXF","London Oxford Airport","Private","4327","Asphalt"
"Lancing","West Sussex","EGKA","ESH","Shoreham Airport","Public","3399","Asphalt"
"Lasham","Hampshire","EGHL","QLA","Lasham Airfield","Public","5896","Asphalt"
"Lydd","Kent","EGMD","LYX","Lydd Airport","Public","4938","Asphalt"
"Headcorn","Kent","EGKH",,"Lashenden (Headcorn) Airfield","Private","2756","Grass"
"Nutfield","Surrey","EGKR","KRH","Redhill Aerodrome","Public","2943","Grass"
"Odiham","Hampshire","EGVO","ODH","RAF Odiham","Military","6030","Asphalt"
"Oxford","Oxfordshire","EGLJ",,"Chalgrove Airfield","Private","6004","Asphalt"
"Popham","Hampshire","EGHP",,"Popham Airfield","Public",," "
"Rochester","Kent","EGTO","RCS","Rochester Airport","Private","3159","Grass"
"Sandown","Isle of Wight","EGHN",,"Isle of Wight/Sandown Airport","Public","2900","Grass"
"Southampton","Hampshire","EGHI","SOU","Southampton Airport","Public","5653","Asphalt"
"Westhampnett","West Sussex","EGHR","QUG","Chichester/Goodwood Airport","Public","4117","Grass"
"Weston-on-the-Green","Oxfordshire",,,"RAF Weston-on-the-Green","Military",," "
"White Waltham","Berkshire","EGLM",,"White Waltham Airfield","Public","3330","Grass"
"Yateley","Hampshire","EGLK","BBS","Blackbushe Airport","Public","4380","Asphalt"
"Amesbury","Wiltshire","EGDM",,"MoD Boscombe Down","Military","10538","Concrete/Asphalt"
"Bodmin","Cornwall","EGLA",,"Bodmin Aerodrome","Public","2001","Grass"
"Braunton","Devon","EGDC",,"Royal Marines Base Chivenor","Military","6014","Asphalt"
"Bulford","Wiltshire","EGDS",,"Salisbury Plain Aerodrome",,," "
"Cheltenham Racecourse","Gloucestershire","EGBC",,"Cheltenham Racecourse Heliport","Public","1312","Grass"
"Churchdown","Gloucestershire","EGBJ","GLO","Gloucestershire Airport","Public","4656","Asphalt"
"Clyst Honiton","Devon","EGTE","EXT","Exeter Airport","Public","6833","Asphalt"
"Colerne","Wiltshire","EGUO",,"Colerne Airfield","Military","3593","Asphalt"
"Davidstow","Cornwall",,,"RAF Davidstow Moor","Public","2000","Asphalt"
"Fairford","Gloucestershire","EGVA","FFD","RAF Fairford","Military","9994","Asphalt"
"Great Torrington","Devon","EGHU",,"Eaglescott Airfield","Public","1969","Grass"
"Helston","Cornwall","EGDR",,"RNAS Culdrose","Military","6006","Asphalt"
"Henstridge","Somerset","EGHS",,"Henstridge Airfield","Public",," "
"Honiton","Devon","EGTU",,"Dunkeswell Aerodrome","Private","3176","Asphalt"
"Hullavington","Wiltshire","EGDV",,"Hullavington Airport","Public",," "
"Hurn","Dorset","EGHH","BOH","Bournemouth Airport","Public","7451","Asphalt"
"Kemble","Gloucestershire","EGBP","GBA","Cotswold Airport","Private","6591","Asphalt"
"Lyneham","Wiltshire","EGDL","LYE","RAF Lyneham","Military","7828","Asphalt"
"Mawgan in Pydar","Cornwall","EGHQ","NQY","Newquay Airport / RAF St Mawgan","Public","9006","Asphalt"
"Mullion","Cornwall","EGDO",,"RNAS Predannack","Military",," "
"Netheravon","Wiltshire","EGDN",,"Netheravon Airfield","Military",," "
"Oaksey","Wiltshire","EGTW",,"Oaksey Park Airfield","Public",," "
"Perranporth","Cornwall","EGTP",,"Perranporth Airfield","Public","3084","Asphalt"
"Portland Harbour","Dorset","EGDP",,"Portland Heliport","Military","750"," "
"Salisbury","Wiltshire","EGLS",,"Old Sarum Airfield","Public","2562","Grass"
"Shaftesbury","Dorset","EGHA",,"Compton Abbas Airfield","Private","2635","Grass"
"St Just","Cornwall","EGHC","LEQ","Land's End Airport","Public","2598","Grass"
"St Mary's","Cornwall","EGHE","ISC","St Mary's Airport","Public","1969","Asphalt"
"Truro","Cornwall","EGHY",,"Truro Aerodrome","Public","1739","Grass"
"Upavon","Wiltshire","EGDJ","UPV","former RAF Upavon","Military",,"Grass"
"Lulsgate","Somerset","EGGD","BRS","Bristol Airport","Public","6598","Asphalt"
"Westonzoyland","Somerset",,,"RAF Weston Zoyland","Public",,"Grass/Asphalt"
"Wroughton","Wiltshire","EGDT",,"RAF Wroughton","Military",," "
"Yeovil","Somerset","EGDW",,"RNAS Merryfield","Military","5970","Asphalt"
"Yeovil","Somerset","EGDY","YEO","RNAS Yeovilton","Military","7580","Concrete"
"Yeovil","Somerset","EGHG",,"Yeovil Aerodrome","Public","4547","Grass"
"Albrighton","Shropshire","EGWC",,"RAF Cosford","Military","3890","Asphalt"
"Baginton","Warwickshire","EGBE","CVT","Coventry Airport","Public","6586","Asphalt"
"Solihull","West Midlands","EGBB","BHX","Birmingham Airport","Public","10013","Asphalt"
"Leominster","Herefordshire","EGBS",,"Shobdon Aerodrome","Public","2953","Asphalt"
"Shrewsbury","Shropshire","EGCV",,"Sleap Airfield","Public","2631","Asphalt"
"Tatenhill","Staffordshire","EGBM",,"Tatenhill Airfield","Public","2585","Asphalt"
"Ternhill","Shropshire","EGOE",,"RAF Ternhill","Military","3215","Asphalt"
"Wellesbourne","Warwickshire","EGBW",,"Wellesbourne Mountford Aerodrome","Private","3009","Asphalt"
"Wolverhampton","Staffordshire","EGBO",,"Wolverhampton Airport","Public","3878","Asphalt"
"Bagby","North Yorkshire","EGNG",,"Bagby Airfield","Private","2100","Grass"
"Beverley","East Riding of Yorkshire","EGNY",,"Beverley/Linley Hill Airfield","Public","2083","Grass"
"Brough","East Riding of Yorkshire","EGNB",,"Brough Aerodrome","Private","3458","Asphalt"
"Breighton","North Yorkshire","EGBR",,"Breighton Aerodrome","Private","2790","Grass"
"Church Fenton","North Yorkshire","EGXG",,"Leeds East Airport","Private","6158","Asphalt"
"Dishforth","North Yorkshire","EGXD",,"RAF Dishforth","Military","6096","Asphalt"
"Finningley","South Yorkshire","EGCN","DSA","Doncaster Sheffield Airport","Public","9491","Asphalt"
"Huddersfield","West Yorkshire","EGND",,"Crosland Moor Airfield","Private","2296","Asphalt/Grass"
"Kirmington","North Lincolnshire","EGNJ","HUY","Humberside Airport","Public","7205","Asphalt/Concrete"
"Leconfield","East Riding of Yorkshire",,,"RAF Leconfield","Military",," "
"Leeds","West Yorkshire","EGNM","LBA","Leeds Bradford International Airport","Public","7382","Concrete"
"Leeds","West Yorkshire","EGNP",,"Leeds Heliport","Private","43","Concrete"
"Leeming Bar","North Yorkshire","EGXE",,"RAF Leeming","Military","7520","Asphalt"
"Linton-on-Ouse","North Yorkshire","EGXU","HRT","RAF Linton-on-Ouse","Military","6020","Asphalt"
"Scunthorpe, North Lincolnshire","Lincolnshire","EGCF",,"Sandtoft Airfield","Public","2907","Asphalt"
"Sherburn-in-Elmet","North Yorkshire","EGCJ",,"Sherburn-in-Elmet Airfield","Public","2723","Tarmac"
"Topcliffe","North Yorkshire","EGXZ",,"RAF Topcliffe","Military","5951","Asphalt"
"York","North Yorkshire","EGNU",,"Full Sutton Airfield","Public","2533","Grass"
"York","North Yorkshire","EGYK","","Elvington Airfield","Public","10151","Asphalt/Concrete"
"Aldergrove","County Antrim","EGAA","BFS","Belfast International Airport","Public","9121","Asphalt"
"Belfast","County Down","EGAC","BHD","George Best Belfast City Airport","Public","6001","Asphalt"
"Eglinton","County Londonderry","EGAE","LDY","City of Derry Airport","Public","6453","Asphalt"
"Enniskillen","County Fermanagh","EGAB","ENK","Enniskillen/St Angelo Airport","Private","4350","Asphalt"
"Newtownards","County Down","EGAD",,"Newtownards Airport","Public","2605","Asphalt "
"Aberdeen","Aberdeen","EGPD","ABZ","Aberdeen International Airport","Public","6407","Asphalt"
"Ardchattan and Muckairn","Argyll and Bute","EGEO","OBN","Oban Airport","Public","4068","Asphalt"
"Baltasound","Shetland","EGPW","UNT","Unst Airport","Public","2100","Asphalt"
"Benbecula","Na h-Eileanan Siar","EGPL","BEB","Benbecula Airport","Public","6023","Asphalt"
"Barra","Na h-Eileanan Siar","EGPR","BRR","Barra Airport","Public","2776","Sand"
"Campbeltown","Argyll and Bute","EGEC","CAL","Campbeltown Airport (RAF Machrihanish)","Public","10003","Asphalt"
"Coll","Argyll and Bute","EGEL","COL","Coll Airport","Public","1640","Asphalt"
"Colonsay and Oronsay","Argyll and Bute","EGEY","CSA","Colonsay Airport","Public","1644","Asphalt"
"North Ronaldsay","Orkney","EGEN","NRL","North Ronaldsay Airport","Public","1532","Graded hardcore"
"Cumbernauld","North Lanarkshire","EGPG",,"Cumbernauld Airport","Public","2690","Asphalt"
"Dalcross","Highland","EGPE","INV","Inverness Airport","Public","6191","Asphalt"
"Delting","Shetland","EGPM","SCS","Scatsta Airport","Public","4462","Asphalt"
"Dundee","Dundee","EGPN","DND","Dundee Airport","Public","4593","Asphalt"
"Dunrossness","Shetland","EGPB","LSI","Sumburgh Airport","Public","4678","Asphalt"
"Eday","Orkney","EGED","EOI","Eday Airport","Public","1532","Graded hardcore"
"Edinburgh","Edinburgh","EGPH","EDI","Edinburgh Airport","Public","8399","Asphalt"
"Fair Isle","Shetland","EGEF","FIE","Fair Isle Airport","Private","1594","Gravel"
"Foula","Shetland","","FOA","Foula Airport","","1500","Gravel"
"Islay","Argyll and Bute","EGPI","ILY","Islay Airport","Public","5068","Asphalt"
"Kinglassie","Fife","EGPJ",,"Fife Airport","Public","2297","Asphalt"
"Kinloss","Moray","EGQK","FSS","Kinloss Barracks","Military","7582","Asphalt"
"Sanday","Orkney","EGES","NDY","Sanday Airport","Public","1532","Graded hardcore"
"Leuchars","Fife","EGQL","ADX","Leuchars Station","Military","8491","Asphalt"
"Lossiemouth","Moray","EGQS","LMO","RAF Lossiemouth","Military","9019","Asphalt"
"Out Skerries","Shetland","","OUK","Out Skerries Airport","","",""
"Papa Stour","Shetland","","PSV","Papa Stour Airport","Public","1450","Gravel"
"Papa Westray","Orkney","EGEP","PPW","Papa Westray Airport","Public","1532","Graded hardcore"
"Paisley","Renfrewshire","EGPF","GLA","Glasgow International Airport","Public","8720","Asphalt"
"Prestwick","South Ayrshire","EGPK","PIK","Glasgow Prestwick Airport","Public","9799","Concrete/Asphalt"
"Mainland, Orkney","Orkney","EGPA","KOI","Kirkwall Airport","Public","4685","Asphalt"
"Scone","Perth and Kinross","EGPT","PSL","Perth Airport","Public","2799","Asphalt"
"Stornoway","Na h-Eileanan Siar","EGPO","SYY","Stornoway Airport","Public","7218","Asphalt"
"Ashaig","Highland","EGEI","SKL","Broadford Airfield","Public","2602","Grass"
"Stronsay","Orkney","EGER","SOY","Stronsay Airport","Public","1690","Graded hardcore"
"Tingwall","Shetland","EGET","LWK","Tingwall Airport","Public","2507","Asphalt"
"Tiree","Argyll and Bute","EGPU","TRE","Tiree Airport","Public","4829","Asphalt"
"Westray","Orkney","EGEW","WRY","Westray Airport","Public","1532","Gravel"
"Whalsay","Shetland","EGEH","WHS","Whalsay Airport","Public","1499","Asphalt"
"Wick","Highland","EGPC","WIC","Wick Airport","Public","5988","Asphalt "
"Aberporth","Ceredigion","EGFA",,"Aberporth Airport","Public","4124","Asphalt"
"Anglesey","Isle of Anglesey","EGOQ",,"RAF Mona","Military","5180","Asphalt"
"Caernarfon","Gwynedd","EGCK",,"Caernarfon Airport","Public","3543","Asphalt"
"Cardiff","Cardiff","EGFC",,"Cardiff Heliport","Public","300","Concrete"
"Haverfordwest","Pembrokeshire","EGFE","HAW","Haverfordwest Aerodrome","Public","5000","Asphalt"
"Hawarden[nb 1]","Flintshire","EGNR","CEG","Chester Hawarden Airport","Public","6702","Asphalt/Concrete"
"Llanbedr","Gwynedd","EGFR",,"Llanbedr Airport","Private","7500","Asphalt"
"Llanfair yn Neubwll","Isle of Anglesey","EGOV","VLY","Anglesey Airport","Public","7513","Asphalt"
"Llanfair yn Neubwll","Isle of Anglesey","EGOV","VLY","RAF Valley","Military","7513","Asphalt"
"Pembrey","Carmarthenshire","EGFP",,"Pembrey Airport","Private","2614","Concrete"
"Pennard","Swansea","EGFH","SWS","Swansea Airport","Public","4429","Asphalt/Concrete"
"Rhoose","Vale of Glamorgan","EGFF","CWL","Cardiff Airport","Public","7848","Asphalt"
"St Athan","Vale of Glamorgan","EGSY","DGX","Saint Athan","Public","5988","Asphalt"
"Welshpool","Powys","EGCW",,"Welshpool Airport","Public","3346","Asphalt"